"","Generation","program_name","age_eligible_population","program_value","per_total_population"
"1","1-2","SNAP",81626799.42,8587811252.56934,105.208232021715
"2","3+","SNAP",238745197.59,26476231576.8378,110.89744147359
"3","1-2","Social Security",10363474.83,113387957429,10941.1137952269
"4","3+","Social Security",38910377.78,511778076899.63,13152.7398626976
"5","1-2","SSI",81626799.42,9748211327.91,119.424152327128
"6","3+","SSI",238745197.59,41865423585.04,175.356086772208
"7","1-2","TANF",81626799.42,1975532160.06,24.2020044164069
"8","3+","TANF",238745197.59,4949580904.68,20.7316459331675
