"","name.twitter","date_created","handle.twitter","ID.twitter","faves","followers","name.website","title_category_1","category_1","title_category_2","category_2","title_category_3","category_3","title_category_4","category_4","title_category_5","category_5"
"36","Ian Vasquez","Tue Aug 04 22:33:31 +0000 2009","VasquezIan","62950059","109","3647","Ian Vásquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Colin Grabow","Mon Jun 29 21:12:48 +0000 2009","cpgrabow","52191159","6116","943","Colin Grabow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Doug Bandow","Mon Jun 15 16:04:19 +0000 2009","Doug_Bandow","47368876","345","4506","Doug Bandow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","David Boaz","Mon Jun 15 14:55:29 +0000 2009","David_Boaz","47353139","181","21136","David Boaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Gabriela Calderon","Tue May 19 13:30:44 +0000 2009","gabricalderon","41115130","1022","17042","Gabriel Latner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Emily Ekins","Sun May 10 17:26:18 +0000 2009","emilyekins","39080168","818","4698","Emily Ekins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Jeffrey Miron","Sat May 09 18:00:14 +0000 2009","jeffreyamiron","38896254","1","3843","Jeffrey Miron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Juan Carlos Hidalgo","Sat Mar 07 19:23:56 +0000 2009","jchidalgo","23224517","3365","27183","Juan Carlos Hidalgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Tate Lacey","Mon Feb 23 04:42:01 +0000 2009","TateLacey","21631669","0","189","Tate Lacey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Randal O'Toole","Thu Feb 19 23:04:46 +0000 2009","antiplanner","21350194","1","650","Randal O'Toole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Nick Rosenkranz","Thu Feb 12 03:23:11 +0000 2009","profnqr","20651107","12608","1442","Dick Komer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Trevor Burrus","Mon Jan 05 06:38:13 +0000 2009","TCBurrus","18625998","32","2965","Trevor Burrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Tom G Palmer","Tue Oct 21 23:17:19 +0000 2008","tomgpalmer","16896057","4773","6075","Tom G. Palmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Ilya Shapiro","Fri Oct 10 18:59:42 +0000 2008","ishapiro","16687344","8637","23773","Ilya Shapiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Dan Ikenson","Tue Oct 07 20:10:26 +0000 2008","dikenson","16636104","2181","3525","Daniel J. Ikenson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Gene Healy","Sun Sep 14 00:57:41 +0000 2008","GeneHealy","16278340","2025","3109","Gene Healy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Walter Olson","Sun Sep 07 02:34:26 +0000 2008","walterolson","16164636","16962","20509","Walter Olson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Julian Sanchez","Fri Aug 31 01:47:26 +0000 2007","normative","8548612","8507","41131","Julian Sanchez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Aaron Ross Powell","Sun Jul 15 18:07:14 +0000 2007","ARossP","7490462","908","5609","Aaron Ross Powell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
